rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Timi Dakolo,11,1,3,5.0
2,Too Faithful,Moses Bliss,1,3,21,8.333333333333334
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,15,5,29,16.333333333333332
4,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,4,66,22,30.666666666666668
5,Worship Your Maker,Dunsin Oyekan,28,64,9,33.666666666666664
6,Omemma,Judikay,17,21,100,46.0
7,Now,Ada Ehi,96,14,43,51.0
8,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",74,53,66,64.33333333333333
9,Jehovah Overdo,Chidinma,3,23,450,158.66666666666666
10,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba",Nathaniel Bassey,7,32,450,163.0
11,Hosanna,Steve Crown,41,15,450,168.66666666666666
12,Ye Obua Mi (My Help),Joe Mettle,27,39,450,172.0
13,My Father My God,Jimmy D Psalmist,53,18,450,173.66666666666666
14,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,39,33,450,174.0
15,You are Yahweh,Steve Crown,500,7,18,175.0
16,Obinasom,Mercy Chinwo,500,10,15,175.0
17,Onyedikagi (feat. Glowrie),Mercy Chinwo,10,510,6,175.33333333333334
18,Way Maker,Sinach,500,19,17,178.66666666666666
19,Faithful God (Live),Onos,61,25,450,178.66666666666666
20,Beautiful (feat. Nathaniel Bassey),Sinach,35,510,2,182.33333333333334
21,Jesus (feat. Mercy Chinwo),Samsong,500,20,35,185.0
22,You are Great,Steve Crown,500,12,48,186.66666666666666
23,Covenant Keeping God,Jimmy D Psalmist,13,510,40,187.66666666666666
24,Fragrance to Fire,Dunsin Oyekan,500,16,59,191.66666666666666
25,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,12,510,60,194.0
26,Yes And Amen,Tope Alabi,500,37,46,194.33333333333334
27,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,70,510,8,196.0
28,NO OTHER NAME,Frank Edwards,500,34,56,196.66666666666666
29,Nara,Tim Godfrey,500,67,23,196.66666666666666
30,At All Cost,Dunsin Oyekan,500,48,44,197.33333333333334
31,You Are Worthy,Tope Alabi,500,62,31,197.66666666666666
32,Na You Dey Reign,Mercy Chinwo,500,55,47,200.66666666666666
33,Yahweh,Ifeoma Okoli,92,510,1,201.0
34,Baba Ese ft. Yoruba Mass Choir,Mike Abdul,86,69,450,201.66666666666666
35,My Father & My Friend,Elijah Oyelade,77,510,20,202.33333333333334
36,Hallelujah No Go Finish,Freke Umoh,38,510,63,203.66666666666666
37,In Your Hands,Moses Bliss,500,78,34,204.0
38,We Raise a Sound (feat. 121selah),Nosa,88,510,19,205.66666666666666
39,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,51,69,206.66666666666666
40,Grateful ft. Moses Bliss,Sinach,91,80,450,207.0
41,Battles,Tim Godfrey,76,510,41,209.0
42,Chinedum,Mercy Chinwo,500,92,37,209.66666666666666
43,Imela,Steve Crown,500,65,65,210.0
44,All That Matters,Minister GUC,500,74,57,210.33333333333334
45,God of Vengeance,Minister GUC,500,99,33,210.66666666666666
46,Halleluyah,Tope Alabi,500,82,58,213.33333333333334
47,All Things Are Ready,Sinach,500,77,68,215.0
48,Under The Canopy,Frank Edwards,500,93,62,218.33333333333334
49,Eze Nara Ekele,Steve Crown,500,97,85,227.33333333333334
50,Bless Me (feat. Ada Ehi),Mercy Masika,81,510,95,228.66666666666666
51,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,317.3333333333333
52,Adom Grace,Diana Hamilton,500,4,450,318.0
53,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,8,450,319.3333333333333
54,More Than Enough,Ada Ehi,500,9,450,319.6666666666667
55,Thank You For My Life,Ada Ehi,500,11,450,320.3333333333333
56,I Bow,Judikay,2,510,450,320.6666666666667
57,Fix My Eyes On You ft. Sinach,Ada Ehi,500,13,450,321.0
58,Oga Jesus,Daniel Mylez,5,510,450,321.6666666666667
59,Hallelujah (feat. Dunsin Oyekan),Joe Mettle,6,510,450,322.0
60,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple",Moses Bliss,500,17,450,322.3333333333333
61,Alpha & Omega (feat. Chris Morgan),K Praise,8,510,450,322.6666666666667
62,Good God,Limoblaze and  Ada Ehi,9,510,450,323.0
63,Yeshua Hamashiach,Nathaniel Bassey,500,22,450,324.0
64,All The Glory,Steve Crown,500,24,450,324.6666666666667
65,Amen,Tjsarx,14,510,450,324.6666666666667
66,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga,16,510,450,325.3333333333333
67,Taking Care,Moses Bliss,500,26,450,325.3333333333333
68,Emmanuel,Nathaniel Bassey,500,27,450,325.6666666666667
69,We Hail You,Nayaah,18,510,450,326.0
70,Your Love ft. Tope Alabi,Steve Crown,500,28,450,326.0
71,Ekwueme ft. Osinachi Nwachukwu (ETTWP),Prospa Ochimana,500,29,450,326.3333333333333
72,They That Wait (feat. MOG),Joe Mettle,19,510,450,326.3333333333333
73,Spirit Chant,Victoria Orenze,500,30,450,326.6666666666667
74,Billion Words,Limoblaze and  Onos,20,510,450,326.6666666666667
75,Your Love Is Amazing (feat. Bethuel Lasoi),Rebekah Dawn,21,510,450,327.0
76,CHIOMA (AFRO VIBE),Frank Edwards,500,31,450,327.0
77,Ebube Jehovah,Victor Ike,22,510,450,327.3333333333333
78,Your Name Is Jesus,Eljoe Onoja,23,510,450,327.6666666666667
79,Song of Victory,Esther Olugbemi,24,510,450,328.0
80,Yesu Mo,Joe Mettle,500,35,450,328.3333333333333
81,No Troubles,Chris Morgan,25,510,450,328.3333333333333
82,This Love,Chidinma,26,510,450,328.6666666666667
83,Hallelujah Challenge Worship Medley,Nathaniel Bassey,500,36,450,328.6666666666667
84,In This Place,Minister GUC,29,510,450,329.6666666666667
85,Nyansabuakwa Nyame,Diana Hamilton,500,40,450,330.0
86,One Song,Ikiri Lawrence,30,510,450,330.0
87,Yah,Dunsin Oyekan,500,41,450,330.3333333333333
88,Never Forget Your Love,Anny,31,510,450,330.3333333333333
89,Capable God,Judikay,32,510,450,330.6666666666667
90,New Level,Ada Ehi,500,42,450,330.6666666666667
91,Covenant Keeper,David G,500,43,450,331.0
92,More Than Conquerors,Chelsea Levi,33,510,450,331.0
93,Heaven,JayMikee,500,44,450,331.3333333333333
94,My Beautifier,Chris Shalom,500,45,450,331.6666666666667
95,You I Live For,Moses Bliss,500,46,450,332.0
96,Mmoloki Waka,Choko,37,510,450,332.3333333333333
97,Finally,Ada Ehi,500,47,450,332.3333333333333
98,iTestify,Ada Ehi,500,50,450,333.3333333333333
99,All in All,CalledOut Music,40,510,450,333.3333333333333
100,Unchangeable God,Joe Praize,500,52,450,334.0
101,Nothing Missing,Preye Odede,42,510,450,334.0
102,Thank You,Kobby Mantey and  Joe Mettle,43,510,450,334.3333333333333
103,Je Laisse Tout A Dieu,Indira,500,54,450,334.6666666666667
104,Hozanna,Claire Bahi,44,510,450,334.6666666666667
105,Jesu Doh (feat. Jahdiel),EBEN,45,510,450,335.0
106,Settled,Ada Ehi,500,56,450,335.3333333333333
107,All Things New,Tee Worship,46,510,450,335.3333333333333
108,King of Glory (feat. Darlene Zschech),Sinach,47,510,450,335.6666666666667
109,Adam Nana,Joyce Blessing,500,57,450,335.6666666666667
110,Lae La O Ma Bo Oluwa,Tope Alabi,500,58,450,336.0
111,Lions,T Sharp,48,510,450,336.0
112,Best of Me,Double F,49,510,450,336.3333333333333
113,Onememma ft. Chioma Jesus,Mercy Chinwo,500,59,450,336.3333333333333
114,Ajibole,Protek Illasheva and  Marizu,50,510,450,336.6666666666667
115,Agbebolo ft. NHYIRABA GIDEON,Celestine Donkor,500,60,450,336.6666666666667
116,Have Mercy (Live),Victoria Orenze,500,61,450,337.0
117,God Most High,Shalom Braide,51,510,450,337.0
118,Awone (feat. Chris Morgan),naomee,52,510,450,337.3333333333333
119,Bulldozer,Chioma Jesus,500,63,450,337.6666666666667
120,Fourthman (feat. Chris Morgan),Caleb Audu,54,510,450,338.0
121,INDOMITABLE,Jimmy D Psalmist,500,510,5,338.3333333333333
122,Great & Mighty (Awimayehun),Segun John,55,510,450,338.3333333333333
123,Amazing,Isyrose,56,510,450,338.6666666666667
124,Most High,Frank Edwards,57,510,450,339.0
125,Imole,Sola Allyson,500,510,7,339.0
126,You Fight for Me,Mahalia Buchanan,58,510,450,339.3333333333333
127,You Remain the Same,Dunsin Oyekan,500,68,450,339.3333333333333
128,We Prevail (feat. Maranda Curtis),Sinach,59,510,450,339.6666666666667
129,Too Much,Chioma Jesus,60,510,450,340.0
130,Worship Medley (feat. Toks Nnamani),Kaydee Numbere,500,510,10,340.0
131,Okemmuo Ft. Mercy Chinwo,Chioma Jesus,500,70,450,340.0
132,More Than a Song,Dunsin Oyekan,500,71,450,340.3333333333333
133,Nothing Without You (feat. Kirk Whalum),Dr Tumi,500,510,11,340.3333333333333
134,Rejoice in the Lord Philippians 4:4,Victoria Orenze,500,510,12,340.6666666666667
135,Liyinqaba,Hle and  Hlengiwe Mhlaba,62,510,450,340.6666666666667
136,Ekele,Desai David,63,510,450,341.0
137,One Moment,Freke Umoh,500,510,13,341.0
138,Akamdinelu,Mercy Chinwo,500,73,450,341.0
139,Oka'ome,Chioma Jesus,64,510,450,341.3333333333333
140,Magnify,Dare David,500,510,14,341.3333333333333
141,I Overcame,Ada Ehi,500,75,450,341.6666666666667
142,Ubangiji (feat. Steve Williz),Younggod,65,510,450,341.6666666666667
143,Je Veux Te Louer,Indira,500,76,450,342.0
144,Jesus Jehovah,Lara George,500,510,16,342.0
145,Perfect Love,Rhema 'Ye,66,510,450,342.0
146,I Believe,Jessika Kioja,68,510,450,342.6666666666667
147,Mai Taimako Na (My Helper),Solomon Lange,500,79,450,343.0
148,Answer Your Name (feat. Rosemary Chibuogwu),Caleb Audu,69,510,450,343.0
149,Cheta ,Ada Ehi,500,81,450,343.6666666666667
150,Konyana,Dr Tumi,71,510,450,343.6666666666667
151,Chukwu Eze,Melody Gabriel,72,510,450,344.0
152,I Will Praise You,Solomon Lange,500,83,450,344.3333333333333
153,Unastahili,Evelyn Wanjiru,73,510,450,344.3333333333333
154,Nazo bondela yo (Je te prie),ROSNY KAYIBA,500,84,450,344.6666666666667
155,Jesus Never Fails,MaryJane Nweke,500,510,24,344.6666666666667
156,Amanamo (feat. Mercy Chinwo),Chris Morgan,75,510,450,345.0
157,What A Mighty God ft. Nathaniel Bassey,Steve Crown,500,85,450,345.0
158,Olorun Agbaye: You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,500,510,25,345.0
159,Knowing You,Minister GUC,500,510,26,345.3333333333333
160,Ekundayo,Yinka Ayefele,500,86,450,345.3333333333333
161,Love My Home,Sinach,500,510,27,345.6666666666667
162,Oka Ome,Chioma Jesus,500,87,450,345.6666666666667
163,Mighty Man of War,Jimmy D Psalmist,500,88,450,346.0
164,Grace Is Available,Sammie Okposo,78,510,450,346.0
165,Unchangeable,Joe Praize,500,510,28,346.0
166,Cultural Praise Vol.2,KCee and  Okwesili Eze Group,79,510,450,346.3333333333333
167,Jesu Ore Otito,Tope Alabi,500,89,450,346.3333333333333
168,Take Over,1spirit & Theopilus Sunday,500,510,30,346.6666666666667
169,Jesus Power,Eben,500,90,450,346.6666666666667
170,Do,Austin Hogan,80,510,450,346.6666666666667
171,The Harvest,Eben,500,91,450,347.0
172,Adonai [Live],Elijah Oyelade,500,510,32,347.3333333333333
173,Greatest Lord,Sinach,82,510,450,347.3333333333333
174,Evidence,Opera-David Benson,83,510,450,347.6666666666667
175,My Everything,Joe Mettle,500,94,450,348.0
176,Praise Medley (Live in London),Joe Mettle,84,510,450,348.0
177,Notice,Ada Ehi,500,95,450,348.3333333333333
178,Mma Mma,Frank Edwards,85,510,450,348.3333333333333
179,Oyoyo Chukwu ft. Israel Dammy & EeZee Tee,Mercy Chinwo,500,96,450,348.6666666666667
180,WE WORSHIP YOU,Frank Edwards,500,510,36,348.6666666666667
181,Okokroko (Remix) [Live],Sonnie Badu,87,510,450,349.0
182,Your Word Is Truth (Live),CHRIS SHALOM,500,510,38,349.3333333333333
183,Shine ft. Chize & Nosa,Ada Ehi,500,98,450,349.3333333333333
184,Holy Ghost (Live),Joe Praize,89,510,450,349.6666666666667
185,Show Up,Ema Onyx,500,510,39,349.6666666666667
186,Nothing Is Impossible (feat. Tope Alabi),EBEN,90,510,450,350.0
187,Overflow,Sinach,500,100,450,350.0
188,Peace In the Storm,Sinach,500,510,42,350.6666666666667
189,We Testify,Deborah Lukalu,93,510,450,351.0
190,Cultural Praise Vol. 3,KCee and  Okwesili Eze Group,94,510,450,351.3333333333333
191,Awurade,Jayana,95,510,450,351.6666666666667
192,You No Dey Use Me Play,Ema Onyx,500,510,45,351.6666666666667
193,I Made It,Gabriel Eziashi,97,510,450,352.3333333333333
194,Incredible God (Live),Mercy Chinwo,98,510,450,352.6666666666667
195,We Bow Down,Sinach,99,510,450,353.0
196,Rid Me of Those Things,Elijah Oyelade,500,510,49,353.0
197,My Praise (feat. Solomon Lange),Norine Mindeyes,500,510,50,353.3333333333333
198,You Are God (Live),Chingtok Ishaku and  House of Judah,100,510,450,353.3333333333333
199,Great I Am,Dare David,500,510,51,353.6666666666667
200,ÌRÌ,Sola Allyson,500,510,52,354.0
201,Healing Stream,Evans Ighodalo,500,510,53,354.3333333333333
202,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo,500,510,54,354.6666666666667
203,Yahweh Be Praised ( Live ),Emmasings,500,510,55,355.0
204,ADA EHI,Ada Ehi,500,510,61,357.0
205,Yours (Live),Minister GUC,500,510,64,358.0
206,Mimo,Sola Allyson,500,510,67,359.0
207,Imole De,Dunsin Oyekan,500,510,70,360.0
208,IZURUKEME (more than enough),Promise Benson,500,510,71,360.3333333333333
209,Gratitude,Tope Alabi,500,510,72,360.6666666666667
210,Man of Galilee,Judikay,500,510,73,361.0
211,Angels Bow (feat. Phil Thompson),Steve Crown,500,510,74,361.3333333333333
212,On #Yes and Amen Album,Tope Alabi,500,510,75,361.6666666666667
213,Same God,Segun John,500,510,76,362.0
214,Idinma,Judikay,500,510,77,362.3333333333333
215,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE,500,510,78,362.6666666666667
216,You Are Jehovah,Prospa Ochimana,500,510,79,363.0
217,Awesome God,SINACH,500,510,80,363.3333333333333
218,Yes Lord (Live),Judikay,500,510,81,363.6666666666667
219,Spirit Pray (Live),Elijah Oyelade,500,510,82,364.0
220,I Win,Samsong,500,510,83,364.3333333333333
221,We Wait on You,Steve Crown,500,510,86,365.3333333333333
222,Ebe,Sola Allyson,500,510,87,365.6666666666667
223,Born to Worship,Prinz,500,510,88,366.0
224,Aye Ole,Infinity,500,510,89,366.3333333333333
225,Korede,Mike Abdul,500,510,90,366.6666666666667
226,Iyin,Sola Allyson,500,510,91,367.0
227,Iyin Ye O,Tope Alabi,500,510,92,367.3333333333333
228,E Dey Work,Samsong,500,510,93,367.6666666666667
229,Nobody Can,Sammie Okposo,500,510,94,368.0
230,My Peace,Elijah Oyelade,500,510,96,368.6666666666667
231,Iro Halleluyah (feat. Tope Alabi),Mike Abdul,500,510,97,369.0
232,Jésù Mi Dà (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul,500,510,98,369.3333333333333
233,God Alone (Live),Joe Praize,500,510,99,369.6666666666667
234,SINACH ft. Nolly | OMEMMA ,Sinach,500,510,101,370.3333333333333
